template_loss,train_loss,step,raw_features_loss,template_features_loss,epoch,fmr10,fmr100,eer,fmr20
26.377321243286133,37.48258972167969,0,43.498538970947266,42.57191467285156,0,,,,
26.362031936645508,37.3939323425293,1,42.58839797973633,43.23136901855469,0,,,,
28.03793716430664,38.288673400878906,2,42.54558563232422,44.28249740600586,0,,,,
26.061416625976562,37.827537536621094,3,43.92189025878906,43.499298095703125,0,,,,
25.564775466918945,37.2066764831543,4,43.22618103027344,42.829071044921875,0,,,,
27.4296875,38.175140380859375,5,43.668251037597656,43.427486419677734,0,,,,
26.659103393554688,37.577178955078125,6,42.56108856201172,43.5113410949707,0,,,,
25.729516983032227,37.11369323730469,7,42.339561462402344,43.272003173828125,0,,,,
25.73895263671875,37.57658386230469,8,43.557621002197266,43.433170318603516,0,,,,
26.43355941772461,37.49221420288086,9,42.92827224731445,43.114810943603516,0,,,,
26.22708511352539,37.351890563964844,10,42.85499572753906,42.97357940673828,0,,,,
26.66864013671875,37.827613830566406,11,43.14385986328125,43.67034149169922,0,,,,
26.375585556030273,37.88212585449219,12,43.69046401977539,43.58031463623047,0,,,,
25.41267204284668,37.14067840576172,13,42.988861083984375,43.02049255371094,0,,,,
25.89529037475586,37.61764144897461,14,42.86857604980469,44.08905792236328,0,,,,
25.000688552856445,37.45083236694336,15,43.60158920288086,43.75021743774414,0,,,,
26.456546783447266,37.682586669921875,16,43.24020004272461,43.351009368896484,0,,,,
25.159957885742188,36.96427917480469,17,42.3315315246582,43.40134811401367,0,,,,
25.224790573120117,37.3880729675293,18,43.01652145385742,43.92289733886719,0,,,,
24.965036392211914,36.96851348876953,19,42.851707458496094,43.088802337646484,0,,,,
25.450773239135742,36.92197799682617,20,42.393516540527344,42.9216423034668,0,,,,
26.01038932800293,37.52909469604492,21,42.93339538574219,43.64349365234375,0,,,,
26.235855102539062,37.33944320678711,22,42.918128967285156,42.86433792114258,0,,,,
25.102291107177734,36.747520446777344,23,42.715728759765625,42.42453384399414,0,,,,
26.067537307739258,37.14133071899414,24,42.71726989746094,42.639183044433594,0,,,,
25.235395431518555,37.30128479003906,25,43.03839111328125,43.630069732666016,0,,,,
25.647428512573242,37.14811706542969,26,43.197181701660156,42.599735260009766,0,,,,
25.625028610229492,37.231239318847656,27,42.63454055786133,43.43414306640625,0,,,,
25.940271377563477,37.60422134399414,28,43.48445129394531,43.387935638427734,0,,,,
25.604902267456055,37.30652618408203,29,43.3084716796875,43.00619125366211,0,,,,
24.762048721313477,37.17888259887695,30,42.6606559753418,44.11394500732422,0,,,,
25.398881912231445,37.0638313293457,31,42.6978874206543,43.094722747802734,0,,,,
25.416927337646484,37.37427520751953,32,43.03252410888672,43.673362731933594,0,,,,
26.019611358642578,37.12898254394531,33,42.69826889038086,42.669071197509766,0,,,,
25.756412506103516,37.718345642089844,34,43.65911865234375,43.739501953125,0,,,,
26.1910343170166,37.3260498046875,35,42.9637336730957,42.8233757019043,0,,,,
25.751564025878906,37.13282775878906,36,42.58033752441406,43.06657028198242,0,,,,
25.078662872314453,36.47397994995117,37,41.82756042480469,42.515708923339844,0,,,,
25.438264846801758,37.19049835205078,38,43.09809875488281,43.03512191772461,0,,,,
25.42317771911621,37.0347785949707,39,42.730159759521484,42.95098876953125,0,,,,
24.830795288085938,36.755210876464844,40,43.17665100097656,42.258182525634766,0,,,,
25.520954132080078,37.13965606689453,41,42.357635498046875,43.540367126464844,0,,,,
25.114627838134766,36.99453353881836,42,42.47519302368164,43.39378356933594,0,,,,
24.997203826904297,37.04065704345703,43,42.88861846923828,43.236141204833984,0,,,,
24.74615478515625,36.82732391357422,44,42.79153823852539,42.94427490234375,0,,,,
24.39112091064453,36.36032485961914,45,42.07788848876953,42.611961364746094,0,,,,
25.735210418701172,37.22618865966797,46,42.77679443359375,43.16655731201172,0,,,,
25.167625427246094,37.08492660522461,47,43.0790901184082,43.008060455322266,0,,,,
24.806373596191406,36.79236602783203,48,42.97877883911133,42.591941833496094,0,,,,
24.975597381591797,36.67144775390625,49,42.64105987548828,42.397682189941406,0,,,,
25.48211097717285,37.16325378417969,50,42.45444869995117,43.553199768066406,0,,,,
24.996320724487305,37.169151306152344,51,42.638938903808594,43.8721923828125,0,,,,
24.98186492919922,36.464115142822266,52,42.185123443603516,42.2253532409668,0,,,,
24.837955474853516,36.767539978027344,53,42.83266830444336,42.631996154785156,0,,,,
25.095382690429688,36.87921142578125,54,42.364742279052734,43.177513122558594,0,,,,
25.298110961914062,36.91900634765625,55,42.53437042236328,42.924530029296875,0,,,,
24.952980041503906,36.79786682128906,56,42.5348014831543,42.90580749511719,0,,,,
24.325109481811523,36.704803466796875,57,42.90208053588867,42.8872184753418,0,,,,
24.965303421020508,36.7254638671875,58,41.92538070678711,43.285701751708984,0,,,,
